Question ID,Questions (Source = Google),Questions (Source = John Hopkins),Question (Source = IDPH),Question (Source = UN),Question (Source = FDA),Question (Source = CNN),Question (Source = CDC),Question (Source = GitHub),Question (Source = WJLA),Question (Source = Bing),Question (Source = Yahoo)
291,,,,,,,,What is required for a person to survive a serious SARS-CoV infection,,,
292,,,,,,,,What factor positively correlates with imported-and-reported cases counts of covid infection,,,
293,,,,,,,,What are main steps for mitigating the COVID -19 transmission during transport of suspected and confirmed patients,,,
294,,,,,,,,What is the recovery benefit of carageenan in patients with any respiratory virus,,,
295,,,,,,,,What is the family of the SARS covid,,,
296,,,,,,,,What kind of masks are recommended to protect healthcare workers from covid exposure,,which covid mask works,do covid masks have to be a specific material
297,,,,,,,,With the intervention of movement restrictions starting on 5th February 2020 what were the confirmed cases for covid were limited to,,,
298,,,,,,,,What age group had the most MERS-COV infections,,,
299,,,,,,,,What is the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine covid variants,,,
300,,,,,,,,What do HCoV-OC43 and HCoV-HKU1 cause,,,
301,,,,,,,,What thickness of layers is recommended for CT image reconstruction in covid assessment,,,
302,,,,,,,,What animals do gamma and delta covid mainly infect,,,
303,,,,,,,,What is the role of computed tomography (CT) in covid,,,
304,,,,,,,,What is the estimated infection-to-death distribution's mean for covid,,,
305,,,,,,,,What type of virus is covid,,,
306,,,,,,,,Is the SARS covid enveloped,,,
307,,,,,,,,How many laboratory-confirmed cases of SARS covid infections were reported between November 2002 and July 2003,,,
308,,,,,,,,When was World Health Organization (WHO) first notified about the covid epidemic in Wuhan City China,,,
309,,,,,,,,How does transmission differ between SARS-CoV and MERS-CoV,,,
310,,,,,,,,"How long did it take to identify the cause of covid, When was SARS-CoV first identified, When was covid first identified, When was the novel covid first reported, When was the first case of covid identified, Where and when was covid first identified, Where was covid first identified",,,
311,,,,,,,,What is the role of interferon's (IFNs) in the treatment of SARS-CoV,,,
312,,,,,,,,What is the doubling time of the covid pandemic,,,
313,,,,,,,,When was COVID surveillance implemented in European region,,,
314,,,,,,,,what similarity human SARS-COV and palm civet SARSlike COV share,,,
315,,,,,,,,Where was the second reported case of COVID in the United States,,,
316,,,,,,,,How many amino acids are in the SARS-CoV E protein,,,
317,,,,,,,,Is oral swab for detecting covid infection sufficient,,,
318,,,,,,,,Which is the source animal for the MERS-COV,,,
319,,,,,,,,Why is important to determine the spectrum of clinical manifestations of covid infections,,,
320,,,,,,,,How do the S1 subunits compare with that of SARS-likeCOV and human SARS-COV,,,
321,,,,,,,,What was done to test if an intermediate host may not be necessary and that some bat SL-CoVs may be able to directly infect human hosts. T,,,
322,,,,,,,,"What was the covid reservoir, What is a natural reservoir of covid",,,
323,,,,,,,,What is an example of a case-based measure against covid,,,
324,,,,,,,,What was the primary threatening clinical finding in patients infected with SARS-CoV and MERS-CoV,,,
325,,,,,,,,When was the second covid case reported in the US,,,
326,,,,,,,,How do SARS-CoV and MERS-CoV evade the immune system sensing it's genome,,,
327,,,,,,,,What is the prognostic role of coinfection in SARS-CoV and MERS-CoV infections,,,
328,,,,,,,,What is the global coverage of influenza and pneumonia vaccines,,,
329,,,,,,,,What type of covid was detected in R. affinis and R. sinicus species,,,
330,,,,,,,,What role does initial viral titer play in the prognosis of SARS-CoV and MERS-CoV,,,
331,,,,,,,,How does the pathogenicity of covid compare with other viruses,,,
332,,,,,,,,Why were civets proposed to be an intermediate host of the bat-CoVs capable of spreading SARS CoV to humans,,,
333,,,,,,,,Why is there high uncertainty in estimating the impact of interventions against the covid,,,
335,,,,,,,,What is the size of the orf1ab gene in bovine covid,,,
336,,,,,,,,Estimated number of people in Italy infected with covid by March 28th,,,
337,,,,,,,,What type of ion channels are formed by the SARS-CoV E protein,,,
339,,,,,,,,What is the timeline of the type I interferon (IFN) response in SARS-CoV infection,,,
340,,,,,,,,What are the most revealing signs that covid evolved by natural evolution. ,,,
341,,,,,,,,What can be the main challenges in managing a hospital outbreak of covid,,,
342,,,,,,,,How many types of covides are known to cause human disease,,,
343,,,,,,,,What is the structure of the covid,,,
345,,,,,,,,What spurred the discovery of the new vector Ae. albopictus,,,
346,,,,,,,,What was the prevalence of covid OC43 in community samples in Ilorin Nigeria,,,
347,,,,,,,,When was the novel covid first reported,,,
348,,,,,,,,"How are covid and SARS-COV similar, How much similarity the covid genome sequence has with SARS-COV",,which covid is sars,
349,,,,,,,,Is the SARS covid single-stranded or double-stranded,,,
350,,,,,,,,What is the genome size of the covid,,,
351,,,,,,,,What are the descriptive statistics for the incubation period for covid,,,
352,,,,,,,,Use of SIR/SEIR model in Statistics-Based Predictions of covid Epidemic Spreading,,,
353,,,,,,,,What type of test was initially developed to screen for covid,,,
354,,,,,,,,What could account for the dissemination of the covid virus across the whole body,,,
355,,,,,,,,What is the Case fatality rate for MERS covid,,,
356,,,,,,,,What other betacovides are zoonotic in origin,,,
357,,,,,,,,How much is the difference between the human covid and the bat RaTG13-CoV,,,
358,,,,,,,,How is the covid referred to,,,
359,,,,,,,,What was attributed to the spread of SARS-COV at Amoy Gardens,,,
360,,,,,,,,What orf8 length do Human SARS-CoVs isolated from early-phase patients all civet SARS-CoVs and other bat SARS-related CoVs contain,,,
362,,,,,,,,What is the median time until death in MERS-COV,,,
363,,,,,,,,What is the treatment for MERS-COV,,,
364,,,,,,,,How many states in the U.S. have reported cases of covid,,,
365,,,,,,,,How did the SARS-CoV gain elevated replication and lung pathogenesis in aged mice ,,,
366,,,,,,,,Why are Nucleic amplification tests (NAAT) usually preferred as in the case of MERS-CoV diagnosis,,,
367,,,,,,,,What do mild clinical presentations of covid indicate,,,
368,,,,,,,,What is the difference between the Tokachi09 and Irish covid genomic sequences,,,
369,,,,,,,,Mechanism of action of Chloroquine(CQ) and Hydroxychloroquine(HCQ) against covid,,,
370,,,,,,,,Where have most outbreaks of equine covid occurred in the United States,,,
371,,,,,,,,How does the genome of 2019-vCOV compare with  SARS like viruses and SARS-COV,,,
372,,,,,,,,What suggests that Irish equine covides may have a low genetic diversity,,,
373,,,,,,,,What is a major difference in clinical progression between SARS-CoV and MERS-CoV,,,
374,,,,,,,,How big was the temporary hospital built in Wuhan City for treatment of covid patients,,,
375,,,,,,,,Being closest to covid which species do the two bat SARS-related covid ZXC21 and ZC45 infect,,,
376,,,,,,,,,How to put on use take off and dispose of a mask,,
377,,,,,,,,,,do covid patients need blood,
378,,,,,,,,,,does covid cause permanent lung damage,does covid cause permament lung damage
379,,,,,,,,,,have covid with no symptoms,
380,,,,,,,,,,should covid patients take advil,
381,,,,,,,,,,"should covid patients take ibuprofen, should covid patients avoid ibuprofen",
382,,,,,,,,,,which covid start,
383,,,,,,,,,,"which covid symptoms appear first, which covid symptoms come first",which covid symptom is first
384,,,,,,,,,,who's covid solidarity response fund,
385,,,,,,,,,,who is covid patient 0,
386,,,,,,,,,,"why covid dangerous, why covid so dangerous",why covid is dangerous
387,,,,,,,,,,will covid end the world,will covid kill us all
388,,,,,,,,,,,are covid test kits increasing
389,,,,,,,,,,,did covid come from pangolin
390,,,,,,,,,,,did covid infects infant
391,,,,,,,,,,,do covid fevers come and go
392,,,,,,,,,,,has covid hit russia
393,,,,,,,,,,,has covid reached hawaii
394,,,,,,,,,,,is covid a hoax
395,,,,,,,,,,,was covid released on purpose
396,,,,,,,,,,,when does fever start with covid
397,,,,,,,,,,,when are you contagious with covid
398,,,,,,,,,,,where is covid
399,,,,,,,,,,,where to donate for covid
400,,,,,,,,,,,which states have the most cases of covid
401,,,,,,,,,,,which actor died from covid
402,,,,,,,,,,,which congressman has covid
403,,,,,,,,,,,which oklahoma counties have covid
404,,,,,,,,,,,which lakers players have covid
405,,,,,,,,,,,"why covid is not the flu, why covid is different than the flu"
406,,,,,,,,,,,why covid is different
407,,,,,,,,,,,why covid is contagious
