Question,Answer,Source,Date Accessed
Where and when was 2019-nCOV first identified,"s first identified in Wuhan, China",GitHub COVID-QA Dataset,27-Apr-20
What are Coronaviruses,"Coronaviruses (CoVs) are enveloped, positive-sense, single-stranded RNA viruses that belong to the subfamily Coronavirinae, family Coronavirdiae, order Nidovirales.",GitHub COVID-QA Dataset,27-Apr-20
How did the SARS-CoV gain elevated replication and lung pathogenesis in aged mice ,due to six coding genetic mutations associated with mouse adaptation. ,GitHub COVID-QA Dataset,27-Apr-20
Why are Nucleic amplification tests (NAAT) usually preferred as in the case of MERS-CoV diagnosis,it has the highest sensitivity at the earliest time point in the acute phase of infection ,GitHub COVID-QA Dataset,27-Apr-20
What do mild clinical presentations of 2019-nCOV indicate,that there could be many more mild infections than severe infections,GitHub COVID-QA Dataset,27-Apr-20
What is the difference between the Tokachi09 and Irish coronavirus genomic sequences,148-nucleotide insertion,GitHub COVID-QA Dataset,27-Apr-20
Mechanism of action of Chloroquine(CQ) and Hydroxychloroquine(HCQ) against COVID-19,CQ and HCQ are weak bases that are known to elevate the pH of acidic intracellular organelles,GitHub COVID-QA Dataset,27-Apr-20
Where have most outbreaks of equine coronavirus occurred in the United States,"adult riding, racing and show horses",GitHub COVID-QA Dataset,27-Apr-20
What is the name of the disease caused buy SARS-COV-2,coronavirus disease 2019 (COVID -19),GitHub COVID-QA Dataset,27-Apr-20
How does the genome of 2019-vCOV compare with  SARS like viruses and SARS-COV,"Overall, the genome of 2019-nCoV has 89% nucleotide identity with bat SARS-like-CoVZXC21 and 82% with that of human SARS-CoV. The phylogenetic trees of their orf1a/b, Spike, Envelope, Membrane and Nucleoprotein also clustered closely with those of the bat, civet and human SARS coronaviruses.",GitHub COVID-QA Dataset,27-Apr-20
What suggests that Irish equine coronaviruses may have a low genetic diversity,high level of homology between viruses,GitHub COVID-QA Dataset,27-Apr-20
Where was SARS-CoV-2 first identified,"Wuhan, capital of Hubei Province, China",GitHub COVID-QA Dataset,27-Apr-20
What is a major difference in clinical progression between SARS-CoV and MERS-CoV,"Unlike SARS-CoV infection, which causes primarily a severe respiratory syndrome, MERS-CoV infection can also lead to kidney failure",GitHub COVID-QA Dataset,27-Apr-20
How big was the temporary hospital built in Wuhan City for treatment of COVID-19 patients,1000 bed hospital,GitHub COVID-QA Dataset,27-Apr-20
Being closest to 2019-nCoV which species do the two bat SARS-related coronavirus ZXC21 and ZC45 infect,"can infect suckling rats and cause inflammation in the brain tissue, and pathological changes in lung & intestine. ",GitHub COVID-QA Dataset,27-Apr-20
